"","id","like","share","comment","unique","msg","time"
"1","226906700999825",52,"25","3","2591","<3D 화상통화 홀로포트>홀로렌즈를 착용하고 통화하면사랑하는 사람이 내 눈 앞에 나타난다.#마이크로소프트 #홀로포트 #순간이동","2016-04-06T03:00:00+0000"
"2","226741927682969",28,"8","0","939","하늘을 날자!#jetpack #시속160km #40년간한우물만팠습니다","2016-04-05T03:00:00+0000"
"3","226216251068870",29,"8","0","1234","최저임금을 올려달라고 사정하는 백만장자들. 이유를 들어보면, 납득이 간다.#너무나낯선풍경 #애국하는백만장자 #patriotmillinaires #최저임금우리는0프로올리자고그랬었는데 #ㄱ나니","2016-04-04T09:00:00+0000"
"4","226282867728875",17,"3","2","418","귀신이 아니다. 홀로렌즈 쓴 눈에만 보이는 좀비다. #홀로있지않게해주는렌즈 #꿀잼미래 #리얼퓨처 #realfuture #내눈에만보인단말이야 #그와중에좀비귀여움","2016-04-04T05:00:00+0000"
"5","224387614585067",13,"2","0","500","이들은 수백만 달러를 들여 미국 의회에 로비를 한다. 나쁜 사람들일까? 로비의 내용을 보면 당신은 깜짝 놀랄 것. 반전이 숨어있다.","2016-04-01T09:00:00+0000"
"6","224374587919703",27,"16","4","1528","이제는 3D 프린터로 만든 옷도 입을 수 있다!","2016-04-01T04:00:00+0000"
"7","223198558037306",32,"7","2","948","누워서도 일할 수 있다는 사실에 특히 일부 직종(?)의 사람들이 열광하는 중.","2016-03-31T04:00:00+0000"
"8","223272154696613",46,"5","0","1347","엄마 왜 나를 닮은 인형은 없어?","2016-03-30T23:00:00+0000"
"9","222529754770853",8,"1","0","361","닝겐노 resigns……이것이 일본 문학상 1차 심사를 통과한 인공지능이 쓴 소설이다.","2016-03-30T09:00:00+0000"
"10","221504484873380",7351,"2253","1860","635344","그렇고 그런 타투가 아니다. 5초 뒤, 팔 위의 타투가 움직이기 시작한다.","2016-03-30T04:00:00+0000"
"11","222092254814603",25,"0","1","724","가비는 다리를 절단 했지만, 다시 발레를 시작했다. 수많은 사람들이 그의 메시지를 듣고 다시 용기를 얻었다.","2016-03-29T23:00:00+0000"
"12","221929571497538",33,"4","5","1357","롯데 타워는 123층. 한국에서 가장 높은 건물을 이 남자가 정복했다.","2016-03-29T09:00:00+0000"
"13","221927938164368",130,"39","15","8262","트위터 반응 남의 키스에 왜 감 놔라 배 놔라냐. 그런데, 김치 싸대기보다 백합 키스가 더 나쁜 걸까?","2016-03-29T04:00:00+0000"
"14","221501774873651",14,"1","0","533","비포앤애프터 둘 다 아름답다. 반전의 뷰티 유투버 샬롬. 그는 말한다. 사람들이 당신의 외모에 대해 뭐라고 떠들든 당신의 인생을 살아요. ","2016-03-28T23:00:00+0000"
"15","221329481557547",15,"5","1","530","그들은 유방암 수술 후 남은 흉터위에 이것을 그렸다","2016-03-28T09:00:00+0000"
"16","221192041571291",77,"20","5","4891","선거 토론 방송에서 자신의 성기 크기에 대해 말한 트럼프. 그리고 미국 대학생 미디어의 반응","2016-03-28T04:00:00+0000"
"17","218727625151066",32,"16","3","714","귀여운 성기 캐릭터가 알려주는 동의에 대해 들어보자","2016-03-25T09:00:00+0000"
"18","218722625151566",8,"5","0","308","갈색거저리 애벌레로 만든 푸딩, 맛있을까?","2016-03-25T04:00:00+0000"
"19","217796218577540",19,"5","0","489","5. 지카 바이러스의 치료법은 아직 없고, 백신 개발은 초기 단계다.","2016-03-24T09:00:00+0000"
"20","217797931910702",11,"1","0","222","아이돌을 하드코어한 직업으로 만드는 그 프로그램 얘기다.","2016-03-24T04:00:00+0000"
"21","217390641951431",14,"3","0","530","폭식증을 겪었던 요가 강사, 아름다운가요?","2016-03-23T23:00:00+0000"
"22","216768658680296",10,"4","0","481","시리아의 이야기는 여전히 현재 진행중이고, 조지 클루니는 그걸 잊지 않았다.","2016-03-23T04:00:00+0000"
"23","216737852016710",11,"1","0","259","이 예술가는 몸에 그린 그림으로 메시지를 전한다","2016-03-22T23:00:00+0000"
"24","216721818684980",39,"5","6","1211","사용자 프라이버시에 대한 애플의 단호한 입장.신제품 발표회인데, 가장 민감한 이슈부터 건드리고 시작한다","2016-03-22T08:30:15+0000"
"25","216146125409216",23,"6","1","1105","새로나온 나이키 신발 자동으로 끈을 묶어준다. 두둥!","2016-03-22T04:00:00+0000"
"26","216175605406268",175,"39","7","8667","페미니즘은 남성을 향한 여성의 싸움이 아니다","2016-03-21T23:00:00+0000"
"27","216060345417794",51,"6","2","2487","엠마 왓슨, 페미니즘 랩에 비트박스 풍치팡치","2016-03-21T11:14:18+0000"
